User,Followers,Following
hanroco,"['amygeiger', 'pjmartineau', 'mar2sw4g', 'imsrychrisj', 'sciolino', 'selfishjean', 'anniecollopy', 'hratner', 'droliviawnophd', 'lurobinson', 'slucente', 'ekwalsh', 'jcicco', 'mollybe', 'joliezhang', 'jjlev', 'jrode1105', 'kaleknndy', 'hallotatiana', 'alampietti', 'minujun', 'anikbernstein', 'chasemayo', 'allisonhsu', 'lristov', 'justinayam', 'gabriel_ballard', 'nathancheng', 'angelica123', 'sherwinyu99', 'cyeoman', 'lepelstat', 'trcksbeforefood', 'lysmask', 'lucieplasse', 'swaxxy', 'megwest', 'zenzelesol', 'dosofsky', 'ronin97', 'jonnypong', 'theomatza', 'spamsencer', 'tophatattack', 'aadl_42', 'kiranewmark', 'audioelis', 'anniening']","['pjmartineau', 'sciolino', 'anniecollopy', 'slucente', 'lurobinson', 'jcicco', 'mollybe', 'jjlev', 'jrode1105', 'kaleknndy', 'alampietti', 'anikbernstein', 'chasemayo', 'minujun', 'gabriel_ballard', 'justinayam', 'lristov', 'allisonhsu', 'nathancheng', 'angelica123', 'sherwinyu99', 'cyeoman', 'lepelstat', 'trcksbeforefood']"
elijahg2468,['anikbernstein'],[]
chelseaeisen,"['antsnmypants', 'connello', 'ggarrison', 'baizluhrmann', 'frmorales01', 'asalevite', 'qtucker', 'jmaren', 'sciolino', 'nellbuech', 'dustintmorris', 'theomatza', 'molscotti', 'chasemayo', 'jessenewman', 'csilvermanlloyd', 'cinephiles', 'nik300']","['connello', 'frmorales01', 'antsnmypants', 'ggarrison', 'baizluhrmann', 'asalevite', 'qtucker', 'jmaren', 'theomatza', 'nellbuech']"
monehish,"['hotdogluvr88', 'imchto', 'eleanorbp', 'jamesbondage69', 'kaylarussell', 'maddyrussell', 'jcalabria']",['hotdogluvr88']
emma_gif,"['anikbernstein', 'skasha']","['skasha', 'anikbernstein']"
rockyfishies,['vocloz'],[]
vanhalen0515,['alessandrosassi'],['alessandrosassi']
moriahs,['reeceq'],['reeceq']
athln,"['theomatza', 'mvw97', 'jppw95', 'wyattwinborne']","['theomatza', 'mvw97', 'jppw95']"
drngrys,[],[]
skasha,"['emma_gif', 'anikbernstein']","['emma_gif', 'anikbernstein']"
